created_at;id;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;geo;lang;user_id_str;conversation_id;conversation_id_str;media_url_https;media_type;username;annotate;
Tue May 30 08:13:10 +0000 2023;1.66346E+18;1.66346E+18;@KompasTV Wkwkwk,, habiskan peluang wan Abud, jgn sampai Indonesia seperti Jakarta di buatnya , banyak kelebihan bayar, pembangunan patung yg ngak jelas , sumur resapan yg membuat jalan rusak,, mau jadi apa Indonesia nanti !!!;0;0;0;0;;in;1.54932E+18;1.6634E+18;1.6634E+18;;;Relaxaja75;0;
Tue May 30 08:48:07 +0000 2023;1.66347E+18;1.66347E+18;Perbaikan jalan rusak di Kranji, Kota Bekasi, sudah dimulai. Bahkan proses pengecoran sudah dilakukan setengahnya. https://t.co/XnM7ZELoyG;0;1;0;0;;in;4712757960;1.66347E+18;1.66347E+18;https://pbs.twimg.com/media/FxXSsTcaIAEphWV.jpg;photo;psikotabekasi;1;
Tue May 30 09:12:02 +0000 2023;1.66347E+18;1.66347E+18;@tanyarlfes Benahi benahi. Yg harus dibenahi itu otak dia. Knp malah benahi diri bareng. Yg selingkuh kan dia. Ga ada namanya memulai baik-baik ditengah jalan yg udah rusak. Selingkuh itu penyakit yg ga bakalan sembuh. Jgn dibiasain mentolerir kesalahan p;0;0;0;0;;in;2938786226;1.66331E+18;1.66331E+18;;;susahbilangnya;0;
Tue May 30 09:49:20 +0000 2023;1.66348E+18;1.66348E+18;@RahmayulitaS @dprhiburanmalam Di jalan aja ketemu jalan rusak pasti dihindari, lah ciwiw giliran sudah rusak minta diterima dan jangan dilihat masa lalunya. Ya sepatutnya lah cowo menghindari.;0;0;0;0;;in;2764612032;1.66296E+18;1.66296E+18;;;gelinajymichu;0;
Tue May 30 04:13:48 +0000 2023;1.6634E+18;1.6634E+18;In Indonesia you don't even have to have something with wheels to use drive thru https://t.co/EP4pBV5VEY;476;237;4207;20330;;en;82100957;1.6634E+18;1.6634E+18;https://pbs.twimg.com/media/FxWTxe4agAA0H1Q.png;photo;aimrod;1;
Tue May 30 09:05:06 +0000 2023;1.66347E+18;1.66347E+18;@Anjay_Kurinjay @kegblgnunfaedh Suamiku dulu pake revo yang keluaran 2007-an, kuncinya ilang di jalan gara lewat jalan yang rusak parah, tapi motornya masih bisa nyala dan dibawa ke tukang kunci duplikat kurleb 10 KM an😀 selama gak mati mesinnya ya bis;0;0;0;0;;in;1.26141E+18;1.66317E+18;1.66317E+18;;;Musashi_Chan11;1;
Tue May 30 09:43:26 +0000 2023;1.66348E+18;1.66348E+18;KSP Moeldoko menanggapi jalan rusak di Kecamatan Simbuang dan Mappak, Tana Toraja. Dia meminta pemda mengusulkan perbaikan jalan rusak ke Kementerian PUPR.\nhttps://t.co/sLTwTdnzYw;0;0;0;0;;in;1.47829E+18;1.66348E+18;1.66348E+18;;;detik_sulsel;1;
Tue May 30 08:02:31 +0000 2023;1.66346E+18;1.66346E+18;@LANGKAHANIES @jokowi .\nJALAN MULUS DBIKIN RUSAK GEGARA SUMUR RESAPAN\n\nTAK BERGUNA HAMBURKAN UANG RAKYAT\n\nKORUPSI ANIES \n. https://t.co/u2Rvcga4U8;0;0;0;0;;in;1.00134E+18;1.66337E+18;1.66337E+18;https://pbs.twimg.com/media/FxXHyfyacAAEyrX.jpg;photo;JackLesmana7;0;
Tue May 30 08:11:26 +0000 2023;1.66346E+18;1.66346E+18;@iidaklw @KakekHalal @prabowo Iya mending langsung lantik aja ganjar sama Prabowo ga usah ada pemilu , uang untuk pemilu kasih ke Jateng biar makmur rakyatnya, udah 2 periode GP jalan rusak hidup susah. Kasian mereka.;0;1;0;0;;in;1401535219;1.66343E+18;1.66343E+18;;;dika_sitorus;0;
Tue May 30 09:04:28 +0000 2023;1.66347E+18;1.66347E+18;@indosupporter Pupr knapa gak fokus pada jalan nasional yg rusak saja ? 🤦;0;0;0;0;;in;313163738;1.66E+18;1.66316E+18;;;tokokika;0;
