full_text;annotate;
@KompasTV Wkwkwk,, habiskan peluang wan Abud, jgn sampai Indonesia seperti Jakarta di buatnya , banyak kelebihan bayar, pembangunan patung yg ngak jelas , sumur resapan yg membuat jalan rusak,, mau jadi apa Indonesia nanti !!!;0;
Perbaikan jalan rusak di Kranji, Kota Bekasi, sudah dimulai. Bahkan proses pengecoran sudah dilakukan setengahnya. https://t.co/XnM7ZELoyG;1;
@tanyarlfes Benahi benahi. Yg harus dibenahi itu otak dia. Knp malah benahi diri bareng. Yg selingkuh kan dia. Ga ada namanya memulai baik-baik ditengah jalan yg udah rusak. Selingkuh itu penyakit yg ga bakalan sembuh. Jgn dibiasain mentolerir kesalahan pasangan apalagi soal perselingkuhan.;0;
@RahmayulitaS @dprhiburanmalam Di jalan aja ketemu jalan rusak pasti dihindari, lah ciwiw giliran sudah rusak minta diterima dan jangan dilihat masa lalunya. Ya sepatutnya lah cowo menghindari.;0;
In Indonesia you don't even have to have something with wheels to use drive thru https://t.co/EP4pBV5VEY;1;
"@Anjay_Kurinjay @kegblgnunfaedh Suamiku dulu pake revo yang keluaran 2007-an, kuncinya ilang di jalan gara lewat jalan yang rusak parah, tapi motornya masih bisa nyala dan dibawa ke tukang kunci duplikat kurleb 10 KM an😀 selama gak mati mesinnya ya bisa jalan motornya.""";1;
KSP Moeldoko menanggapi jalan rusak di Kecamatan Simbuang dan Mappak, Tana Toraja. Dia meminta pemda mengusulkan perbaikan jalan rusak ke Kementerian PUPR.\nhttps://t.co/sLTwTdnzYw;1;
@LANGKAHANIES @jokowi .\nJALAN MULUS DBIKIN RUSAK GEGARA SUMUR RESAPAN\n\nTAK BERGUNA HAMBURKAN UANG RAKYAT\n\nKORUPSI ANIES \n. https://t.co/u2Rvcga4U8;0;
@iidaklw @KakekHalal @prabowo Iya mending langsung lantik aja ganjar sama Prabowo ga usah ada pemilu , uang untuk pemilu kasih ke Jateng biar makmur rakyatnya, udah 2 periode GP jalan rusak hidup susah. Kasian mereka.;0;
@indosupporter Pupr knapa gak fokus pada jalan nasional yg rusak saja ? 🤦;0;
@LANGKAHANIES @jokowi Bukannya di kota besar seperti jakarta jalan nya pada di rusak gara gara ada sumur resaan itu ya terus perawatan yang kurang bagus juga yang menimbulkan mobil terperosok lah apa lah, itu kan pemimpinnya pak aniss, apa membiarkan anak buahnya korupsi ? ini baru tingkat provinsi lo;0;
"jadi inget scene di novel assalamualaikum calon imam, fisya di gendong alif karena sepatunya rusak dan mobilnya mogok trs melipir ke drive thru, fisya nanya emg gapapa? kan kita jalan"" trs dijawab alif ""u driving me rn"" SKSKSKSK😭🙏🏻""";1;
Jalan rusak ramai disorot setelah Presiden Joko Widodo turun langsung mengecek kondisi jalan di sebagian wilayah Sumatera. Jalan rusak sebetulnya problem menahun. Bisa mengakses jalan mulus, jadi mimpi sebagian warga selama puluhan tahun. \n\n#BerkasKompas;1;
Pigai Kecewa Ganjar Tegur Seniman yang Viralkan Jalan Rusak di Jateng: Belum Jadi Presiden Saja... https://t.co/t4csEQrUoO;0;
Tak terpenuhinya akses jalan sebagai infrastruktur dasar, membuat warga menderita. Jalan rusak merampas hak mereka, mulai dari hak mengakses layanan kesehatan hingga pendidikan, dan juga menghambat perekonomian. Mengapa negara lambat mengatasinya?\n\n#BerkasKompas;0;
"KONDISI JALAN NASIONAL PADANG LAMO"" DI KABUPATEN TEBO PROVINSI JAMBI #jalanrusak #jalanpadanglamo #tebo #jambi https://t.co/kH0U0iPW9S""";0;
Saat pertama jumpa dgn Dirut KA, saya bertanya apa bapak pernah ngerasain naik kereta ekonomi dan duduk di kursi 90 derajat itu? \n\nPak Dirut bilang pernah, nanti akan kita ganti. Ia menangis saat baca berita ibu hamil kelelahan naik tangga stasiun. Saya melihat airmatanya. https://t.co/7WiwPumqqJ;1;
@DirjenAntiAging @1shibalannyeong @ayiiSANTOSO @jogmfs jd inget pngalaman KKN dlu, ada siswa yg mesti jalan 2Km dn berangkat pake sendal dlu, soalnya pke spatu bisa cpet rusak. pergi jg pake kaos krna keringetan ktanya. klo ujan gede suka izin g sekolah. klo d skolah udh kliatan mendung mau ujan besar, suka izin pulang dluan 🥹;0;
@FaGtng @KejaksaanRI @ST_Burhanuddin Apanya kerjaanmu saat jadi Gubernur Anis .......!\nJalan kau lubangi hingga rusak, KJP Plus kalian tilap. Bantuan sosial kau salurkan ke ormas keagamaan dan ormas radikal.\nMasih berniat pula kau ke RI 1 ?;0;
@tvOneNews tidak hanya masalah ekonomi, infrastruktur, jalan propinsi msh banyak yg rusak, peredaran narkoba di jawa tengah sangat tinggi...;0;
Sekretaris Daerah Bandar Lampung Bantah Jalan Baru yang Diperbaiki Rusak... https://t.co/CRHtfgamaU lewat @YouTube;0;
Ngerasa bgt engap pas naik di st bekasi buset cape jalannya. Nah pas turun udah seneng ada eskalator lah rusak jadi jalan lagi -_-;0;
Murka Ganjar Janji Bangun Ruas Jalan di Banten, Warganet: Jateng Saja Banyak Jalan Rusak\nhttps://t.co/J7OPcFuiZl;0;
Babinsa Koramil Kahut Bersama Kades dan Warga Perbaiki Jalan Rusak https://t.co/pFPJ63bSAf #News #Berita #Kabar #Popular #klikwarta #InfoMasyarakat #viral;1;
@tawajkt Dmn2 ruko dimanfaatkan, dijadikan sumber pendapatan oknum2. Klo diceritain mah sedih pak. IPL 3x lipat dibandingkan perumahannya, ormas2 pungut iuran sebulan bs 5x, jalan dan got rusak tanggung jawab ruko.;0;
@ganjarpranowo Dari jalan yang rusak kita belajar .......................;0;
Warga di Tana Toraja, Sulawesi Selatan (Sulsel) tagih janji proyek jalan yang tidak kunjung diperbaiki. Mereka melempari kantor Bupati dengan lumpur yang diambil langsung dari lokasi jalan rusak. YLD\n\n#SeputariNews #RCTI #Proyek #JalanRusak #TanaToraja #UnjukRasa #Mahasiswa https://t.co/k2Jt5UNc8F;0;
buat yg terusik dgn tweet ini, disentil dgn: silakan kalo mau diborong semua\n\nfyi, fakta pemkab Bojonegoro sudah melakukannya. silakan cek.\n\ngotongroyong kebut bangun jalan, menyongsong Pak Jokowi berkunjung ke Ngawi dari Ngloram lewat jalur JTBB, jalan ini kondisi rusak parah https://t.co/zAHMBWdoHE;1;
@tanyarlfes Ini ya, walaupun kosong ga dipake, biaya adminnya tetep jalan tau. Udh gituuu, ditumpuk dan dia ga non aktif sendiri. Huhu punya gue numpuk dan bikin rusak BI Check;0;
Prihatin Jalan Rusak, Warga Desa Kejene Bangun Jalan Sendiri Dengan Iuran Warga\n https://t.co/L2LvIpfQ63;1;
Dikenal Sebagai Tempat Healling Aesthetic, Begini Kondisi Jalan di Banda Naira yang Rusak\n\nhttps://t.co/ndsfZUf7ql;1;
Warga Keluhkan Debu Proyek Hingga Jalan Rusak. https://t.co/UYM5bvUNI6;0;
Babinsa Desa Kawengen Koptu Listiyono Koramil14Ungaran Barat bersama Warga Dusun Gendurid Rt 10/01 Melaksanakan Pengecoran jalan yang rusak, agar jalan menjadi bagus dan dapat di lalui warga masyarakat Dusun Gendurid,Desa Kawengen,Kec Ungaran Timur. https://t.co/eImE8c1SV6;1;
Jalannya lagi rusak. Nyari jalan tembus belum ketemu, mau balik arah udah lewatin jembatan yang putus. Jadi tetep jalan tapi pelan2 biar motornya ga rusak https://t.co/Tx4b6v7nZu;0;
Selasa tanggal 30/05/ 2023 pukul 07.30 s/d 10.00 wita  bertempat di Jalan Raya jurusan Kebon menuju Peninjoan Desa Peninjoan kecamatan Tembuku telah berlangsung kegiatan gotong royong/kerja bakti merabat beton pinggir  jalan yang rusak dan dengan Biaya Swadaya https://t.co/9z4yENci4c;1;
Jembatan Terusan Bojonegoro  - Cepu, inisiatif pemkab Bojonegoro. Murni APBD Bojonegoro\n\nGesture/interaksi Pak Bas tentu refleks mengarah ke yg punya gawe. Dia lah the big bos, inisiator,  juga yg mandori di lapangan\n\ndan gesture Ndoro Ganjar yg pakewuh🤣\nhttps://t.co/hvQTxrUh3K https://t.co/6chisHSTk0;0;
@mohammedputra @infobdg Tapi klo emng mau idealis sih bisa tapi pasti ada pihak yg merasa dirugikan, dengan siklus perputaran sampah sekarang mnjdi mata pencaharian bnyk org klo emng mau serius bisa diambil jalan tengahnya. Sama anehnya klo ada jalan rusak dari dinas terkait bikin plank hati” jlan rusak;0;
@kegblgnunfaedh Ges, bapakku pernah kerja lembur sampe MLM. Pake motor butut, motornya mogok tangah jalan. Bapakku cuma punya hp butut dan waktu itu lg rusak. Kita yg di rumah bingung mau cari bapakku dimana. Tengah MLM bapakku sampe rumah nangis sambil nuntun motornya. Cont-;1;
@JhonniSinaga20 @JumintenMumet Jawa Tengah dengan INDONESIA juga beda. \nJawa Tengah dibawah kepemimpinan ganjar, kemiskinan no 2 di pulau Jawa. \nBanjir di semarang dan pantura yg  GP gk bisa atasi sesuai janji kampanyenya di 2013.\nJalan raya banyak yang rusak berat merata di jateng\nUMR yg rendah. https://t.co/wuOW8ZTkVz;0;
[4-end] #JalanRusak #JalanBerlubang #KerusakanJalan #PerbaikanJalan #InfoLaka #Kecelakaan #VideoViral #Viral #FotoViral #BeritaViral #InfoViral #VideoNetizen #VideoWargaPatria #VideoWargaNet #CitizenJournalism;0;
Ratusan Triliun Dana Pemda Mengendap di Bank, Partai Perindo: Seharusnya Bisa Perbaiki Jalan Rusak\nhttps://t.co/kgl4tB338i;0;
Ratusan Triliun Dana Pemda Mengendap di Bank, Partai Perindo: Seharusnya Bisa Perbaiki Jalan Rusak\nhttps://t.co/ekJ8zGYYZR;0;
Ganjar Pranowo menegur warga yang viralkan jalan rusak, saat melakukan pengecekan jalan. Ganjar berpesan pada warga agar tak gampang memviralkan suatu kondisi. \nWarga bisa langsung melapor ke Gubernur atau lewat aplikasi lapor Gub dan juga media sosial pribadinya.\n\n@liputan6 https://t.co/egWOhD9CJ0;1;
@Heraloebss anjas, uang penjualannya buat benerin jalan yang rusak ke jalan yang benar, memang cerdas bapak aldi gallagher;1;
BBPJN Sumut 2023, Tuntaskan Perbaikan Jalan Rusak Sesuai Perintah Presiden Jokowi https://t.co/2C0k3csMLj;1;
"[2] jalan ini belum juga ada perbaikan.\n\nHarapannya, pemerintah segera melakukan perbaikan atau pengaspalan jalan. Menurutnya, kasihan pengguna jalan, utamanya roda 2 atau sepeda motor, saat simpangan dengan truk &amp; tidak bisa memilih jalan.\n\nSehingga mau tidak mau, jalan rusak &amp;";1;
"Saat yg petani beneran sulit jual komoditas misal karena jalan rusak. Trus ada makhluk2 nyuruh2 orang utk hrs bertani dg katanya rakyat bisa sendiri,"" alih2 dorong perubahan kebijakan. Ini terus apa bedanya makhluk2 itu dg elit2 yg wajarkan apa2 ditanggung sendiri2? 😭😭😭😭😭😭""";0;
Ratusan Triliun Dana Pemda Mengendap di Bank, Partai Perindo: Seharusnya Bisa Perbaiki Jalan Rusak\nhttps://t.co/4uB6pOF901;1;
@abu_waras Kader Demokrat kritik jalan Jateng padahal pengusung Pilgub🤣🤣,giliran jalan banten rusak diem oposan;0;
Soroti Ratusan Triliun Dana Pemda Mengendap di Bank, Yerry Tawalujan: Seharusnya Bisa untuk Perbaiki Jalan Rusak.                  https://t.co/vrPDo4Dy9o;1;
@Srik4ndiMuslim2 @P3n99u94t Kalau Sumatera Utara tidak berdiri sendiri sebagai negara merdeka maka akan tetap menanggung hutang negara dan jangan berharap bisa memperbaiki jalan rusak yang ada diwilayahnya. \nKalau berdiri sendiri sebagai negara baru yg berdaulat otomatis tidak punya hutang! https://t.co/mrb9Wm93SU;0;
